Course,Year,Season,Antal bestået,Antal tilmeldte,Eksamensgennemsnit,Fremmødte
KU005,2022,Summer,"5  (100  %  af de tilmeldte,  100  %  af de fremmødte)",5,8 (Efter 7-trinsskalaen),5
KU005,2022,Winter,"43  (81  %  af de tilmeldte,  89  %  af de fremmødte)",53,"7,9 (Efter 7-trinsskalaen)",48
KU005,2023,Winter,"36  (73  %  af de tilmeldte,  81  %  af de fremmødte)",49,"6,2 (Efter 7-trinsskalaen)",44
KU006,2018,Summer,"34  (100  %  af de tilmeldte,  100  %  af de fremmødte)",34,Intet eksamensgennemsnit,34
KU006,2019,Summer,"29  (100  %  af de tilmeldte,  100  %  af de fremmødte)",29,Intet eksamensgennemsnit,29
KU006,2021,Summer,"61  (100  %  af de tilmeldte,  100  %  af de fremmødte)",61,Intet eksamensgennemsnit,61
KU006,2021,Winter,"5  (100  %  af de tilmeldte,  100  %  af de fremmødte)",5,Intet eksamensgennemsnit,5
KU006,2022,Summer,"51  (96  %  af de tilmeldte,  100  %  af de fremmødte)",53,Intet eksamensgennemsnit,51
KU006,2023,Summer,"59  (98  %  af de tilmeldte,  100  %  af de fremmødte)",60,Intet eksamensgennemsnit,59
KU006,2024,Summer,"63  (96  %  af de tilmeldte,  96  %  af de fremmødte)",65,Intet eksamensgennemsnit,65
KU010,2017,Winter,"30  (81  %  af de tilmeldte,  100  %  af de fremmødte)",37,"9,9 (Efter 7-trinsskalaen)",30
KU010,2018,Summer,"3  (60  %  af de tilmeldte,  75  %  af de fremmødte)",5,"7,2 (Efter 7-trinsskalaen)",4
KU010,2018,Winter,"29  (85  %  af de tilmeldte,  96  %  af de fremmødte)",34,"8,5 (Efter 7-trinsskalaen)",30
KU010,2019,Summer,"3  (75  %  af de tilmeldte,  75  %  af de fremmødte)",4,9 (Efter 7-trinsskalaen),4
KU010,2019,Winter,"26  (92  %  af de tilmeldte,  100  %  af de fremmødte)",28,"9,3 (Efter 7-trinsskalaen)",26
KU010,2020,Winter,"40  (83  %  af de tilmeldte,  90  %  af de fremmødte)",48,"8,2 (Efter 7-trinsskalaen)",44
KU010,2021,Winter,"35  (89  %  af de tilmeldte,  89  %  af de fremmødte)",39,"8,8 (Efter 7-trinsskalaen)",39
KU010,2022,Summer,"4  (80  %  af de tilmeldte,  100  %  af de fremmødte)",5,12 (Efter 7-trinsskalaen),4
KU010,2022,Winter,"48  (87  %  af de tilmeldte,  97  %  af de fremmødte)",55,"8,8 (Efter 7-trinsskalaen)",49
KU010,2023,Winter,"48  (77  %  af de tilmeldte,  84  %  af de fremmødte)",62,"6,8 (Efter 7-trinsskalaen)",57
KU011,2017,Winter,"34  (52  %  af de tilmeldte,  54  %  af de fremmødte)",65,"2,2 (Efter 7-trinsskalaen)",62
KU011,2018,Summer,"22  (81  %  af de tilmeldte,  84  %  af de fremmødte)",27,"2,7 (Efter 7-trinsskalaen)",26
KU011,2018,Winter,"47  (81  %  af de tilmeldte,  81  %  af de fremmødte)",58,"4,8 (Efter 7-trinsskalaen)",58
KU011,2019,Summer,"4  (50  %  af de tilmeldte,  57  %  af de fremmødte)",8,2 (Efter 7-trinsskalaen),7
KU011,2019,Winter,"68  (85  %  af de tilmeldte,  88  %  af de fremmødte)",80,"6,2 (Efter 7-trinsskalaen)",77
KU011,2020,Summer,,1,,1
KU011,2020,Winter,"65  (95  %  af de tilmeldte,  95  %  af de fremmødte)",68,"5,5 (Efter 7-trinsskalaen)",68
KU011,2021,Summer,,2,,1
KU011,2021,Winter,"67  (100  %  af de tilmeldte,  100  %  af de fremmødte)",67,7 (Efter 7-trinsskalaen),67
KU011,2022,Summer,"8  (100  %  af de tilmeldte,  100  %  af de fremmødte)",8,9 (Efter 7-trinsskalaen),8
KU011,2022,Winter,"46  (54  %  af de tilmeldte,  56  %  af de fremmødte)",84,"2,9 (Efter 7-trinsskalaen)",81
KU011,2023,Winter,"53  (60  %  af de tilmeldte,  62  %  af de fremmødte)",88,"3,1 (Efter 7-trinsskalaen)",85
KU012,2017,Winter,"25  (92  %  af de tilmeldte,  92  %  af de fremmødte)",27,Intet eksamensgennemsnit,27
KU012,2018,Summer,,1,,1
KU012,2018,Winter,"34  (94  %  af de tilmeldte,  97  %  af de fremmødte)",36,Intet eksamensgennemsnit,35
KU012,2019,Summer,,2,,2
KU012,2019,Winter,"32  (91  %  af de tilmeldte,  94  %  af de fremmødte)",35,Intet eksamensgennemsnit,34
KU012,2020,Summer,,2,,2
KU012,2020,Winter,"31  (93  %  af de tilmeldte,  93  %  af de fremmødte)",33,Intet eksamensgennemsnit,33
KU012,2021,Winter,"45  (95  %  af de tilmeldte,  95  %  af de fremmødte)",47,Intet eksamensgennemsnit,47
KU012,2022,Summer,,1,,1
KU012,2022,Winter,"50  (92  %  af de tilmeldte,  96  %  af de fremmødte)",54,Intet eksamensgennemsnit,52
KU012,2023,Winter,"40  (93  %  af de tilmeldte,  93  %  af de fremmødte)",43,Intet eksamensgennemsnit,43
KU015,2019,Summer,"15  (100  %  af de tilmeldte,  100  %  af de fremmødte)",15,"7,1 (Efter 7-trinsskalaen)",15
KU015,2020,Summer,"18  (90  %  af de tilmeldte,  94  %  af de fremmødte)",20,"8,4 (Efter 7-trinsskalaen)",19
KU015,2021,Summer,"21  (100  %  af de tilmeldte,  100  %  af de fremmødte)",21,"8,4 (Efter 7-trinsskalaen)",21
KU015,2022,Summer,"15  (78  %  af de tilmeldte,  83  %  af de fremmødte)",19,"4,9 (Efter 7-trinsskalaen)",18
