Course code,Academic Year,Year,Season,Antal bestået,Antal tilmeldte,Eksamensgennemsnit,Fremmødte,Engelsk titel,Undervisningssprog,Point( ECTS ),Kursustype,Evalueringsform,Hjælpemidler,Bedømmelsesform,Institut,Mulighed for GRØN DYST deltagelse,Ekstern samarbejdsinstitution,forudsætninger
42390,2021-2022,2021,Winter,59,59,"11,5",59,The role of technology in sustainability transitions and climate action,Engelsk,5,Kandidat,"Skriftlig eksamen og bedømmelse af rapport(er) Der gives en samlet porteføljevurdering baseret på (ca. 20%) individuelle quizzer baseret på pensum og forelæsninger, (ca. 30%) individuelle opgaver og (ca. 50%) en individuel selvvurdering af gruppeprojektet og præsentation. Eksamensvarighed Skriftlig eksamen: 1 time",Tilladt,intern bedømmelse,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ja,Ja,Ja
42391,2021-2022,2022,Summer,54,56,"9,4",54,SDG Lab,Engelsk,5,Bachelor,Bedømmelse af opgave(r)/rapport(er) Evalueringen er en helhedsvurdering baseret på: 1) en mid-term gruppeopgave (individuel udførelse skal være vurderes); 2) en end-term gruppeopgave (individuel udførelse skal være vurderes); 3) en end-term individuel rapport tilknyttet gruppearbejdet. Den endelige karakter vil blive givet på individuel basis.,Tilladt,intern bedømmelse,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ja,Ja,Nej
42401,2017-2018,2017,Winter,132,151,"6,2",147,Introduction to Management Science,Engelsk,5,Kandidat,Skriftlig eksamen og bedømmelse af rapport(er) Eksamen afholdes digitalt over internettet,Tilladt,intern bedømmelse,Institut42 DTU Management Engineering,Ikke oplyst,Ja,Nej
42401,2017-2018,2018,Summer,13,14,"5,4",13,Introduction to Management Science,Engelsk,5,Kandidat,Skriftlig eksamen og bedømmelse af rapport(er) Eksamen afholdes digitalt over internettet,Tilladt,intern bedømmelse,Institut42 DTU Management Engineering,Ikke oplyst,Ja,Nej
42401,2018-2019,2018,Winter,135,154,"6,4",150,Introduction to Management Science,Engelsk,5,Kandidat,"Skriftlig eksamen og bedømmelse af rapport(er) To projektbaserede midtvejs eksaminer, og en afsluttende digital eksamen",Tilladt,intern bedømmelse,"Institut42 Institutfor Systemer, Produktion og Ledelse",Ikke oplyst,Ja,Nej
42401,2018-2019,2019,Summer,7,9,"4,7",7,Introduction to Management Science,Engelsk,5,Kandidat,"Skriftlig eksamen og bedømmelse af rapport(er) To projektbaserede midtvejs eksaminer, og en afsluttende digital eksamen",Tilladt,intern bedømmelse,"Institut42 Institutfor Systemer, Produktion og Ledelse",Ikke oplyst,Ja,Nej
42401,2019-2020,2019,Winter,169,186,"6,6",183,Introduction to Management Science,Engelsk,5,Kandidat,Skriftlig eksamen og bedømmelse af rapport(er) To projektopgaver (i grupper) suppleret med en afsluttende digital eksamen (individuel). Karakterer baseres på en helhedsvurdering af projekterne og eksamen.,Tilladt,intern bedømmelse,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ikke oplyst,Ja,Nej
42401,2019-2020,2020,Summer,13,14,"6,4",13,Introduction to Management Science,Engelsk,5,Kandidat,Skriftlig eksamen og bedømmelse af rapport(er) To projektopgaver (i grupper) suppleret med en afsluttende digital eksamen (individuel). Karakterer baseres på en helhedsvurdering af projekterne og eksamen.,Tilladt,intern bedømmelse,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ikke oplyst,Ja,Nej
42401,2020-2021,2020,Winter,135,156,"6,6",149,Introduction to Management Science,Engelsk,5,Kandidat,Skriftlig eksamen og bedømmelse af opgave(r) To projektopgaver (i grupper) suppleret med en eksamen midt i forløbet (individuel) og en afsluttende digital eksamen (individuel). Opgaverne skal godkendes for at kunne deltage i de to eksamener. En opgave godkendes hvis minimum 50% af delspørgsmålene er besvaret korrekt. Hver eksamen tæller 50% mod den endelige karakter,Tilladt,intern bedømmelse,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ikke oplyst,Ja,Nej
42401,2020-2021,2021,Summer,21,22,"6,8",21,Introduction to Management Science,Engelsk,5,Kandidat,Skriftlig eksamen og bedømmelse af opgave(r) To projektopgaver (i grupper) suppleret med en eksamen midt i forløbet (individuel) og en afsluttende digital eksamen (individuel). Opgaverne skal godkendes for at kunne deltage i de to eksamener. En opgave godkendes hvis minimum 50% af delspørgsmålene er besvaret korrekt. Hver eksamen tæller 50% mod den endelige karakter,Tilladt,intern bedømmelse,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ikke oplyst,Ja,Nej
42402,2021-2022,2021,Winter,200,200,"6,7",200,Sustainable Operations and Supply Chain Management,Engelsk,5,Kandidat,Skriftlig eksamen Eksamensvarighed Skriftlig eksamen: 3 timer,Tilladt,ekstern censur,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ikke oplyst,Ja,Nej
42402,2022-2023,2022,Winter,185,186,"7,2",185,Sustainable Operations and Supply Chain Management (O&SCM),Engelsk,5,Kandidat,"Skriftlig eksamen og bedømmelse af rapport(er) I løbet af kurset stilles en gruppeopgave. I gruppeopgaven indgår en individuel rapport. Gruppeopgaven skal være godkendt, for at den studerende kan deltage i den skriftlige eksamen ved kursets afslutning. Den endelige karakter er baseret på en helhedsvurdering af den studerendes præstation i gruppeopgaven, den individuelle rapport og under den skriftlige eksamen. Eksamensvarighed Skriftlig eksamen: 2 timer",Tilladt,ekstern censur,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ikke oplyst,Ja,Nej
